Roll_Number,Student_Name,Attendance_Percentage,Quiz_Marks,Assignment_Marks,Midterm_Marks,Final_Marks,Result,Risk_Level
STU30560,Unknown Student,96.0,15.0,11.0,24.0,19.0,Pass,Low Risk
STU75718,Komal Warraich,99.0,8.0,7.0,8.0,12.0,Fail,Medium Risk
STU67179,Ehsan Awan,94.0,15.0,16.0,27.0,20.0,Pass,Low Risk
STU13415,Rashid Junejo,75.0,15.0,18.0,25.0,25.0,Pass,Low Risk
STU41734,Tahira Abbasi,78.0,14.0,16.0,16.0,19.0,Pass,Medium Risk
STU87559,Daniyal Gill,61.0,16.0,18.0,26.0,22.0,Pass,Low Risk
STU61974,Fajar Sheikh,59.0,13.0,16.0,19.0,11.0,Fail,Medium Risk
STU39147,Ahmed Chandio,88.0,20.0,20.0,28.0,26.0,Pass,Low Risk
STU34295,Asad Awan,60.0,13.0,15.0,17.0,17.0,Fail,Medium Risk
STU57388,Waqar Iqbal,57.0,11.0,8.0,18.0,24.0,Pass,Medium Risk
STU13410,Wajeeha Chandio,62.0,14.0,17.0,21.0,23.0,Pass,Low Risk
STU42218,Moiz Qazi,98.0,9.0,15.0,25.0,21.0,Pass,Low Risk
STU21994,Sundas Farooq,61.0,8.0,8.0,17.0,19.0,Fail,Medium Risk
STU27094,Shahzad Mirza,77.0,16.0,15.0,29.0,15.0,Pass,Low Risk
STU41355,Bushra Saeed,100.0,20.0,18.0,29.0,30.0,Pass,Low Risk
STU23374,Danish Soomro,90.0,20.0,20.0,27.0,26.0,Pass,Low Risk
STU20749,Ali Pasha,68.0,13.0,12.0,18.0,18.0,Pass,Medium Risk
STU94944,Mahnoor Ali,67.0,11.0,19.0,19.0,18.0,Pass,Medium Risk
STU93394,Palwasha Iqbal,100.0,13.0,20.0,25.0,25.0,Pass,Low Risk
STU65060,Shoaib Mirza,72.0,16.0,8.0,19.0,21.0,Pass,Medium Risk
STU90229,Danish Baig,94.0,17.0,17.0,30.0,28.0,Pass,Low Risk
STU64363,Hina Ansari,71.0,14.0,16.0,21.0,30.0,Pass,Low Risk
STU40428,Basit Ali,80.0,17.0,15.0,23.0,30.0,Pass,Low Risk
STU08956,Khadija Warraich,53.0,8.0,6.0,10.0,12.0,Fail,High Risk
STU96162,Momina Qureshi,58.0,7.0,18.0,20.0,22.0,Pass,Medium Risk
STU15499,Warda Chaudhry,75.0,9.0,9.0,15.0,17.0,Fail,Medium Risk
STU71096,Zubair Orakzai,63.0,16.0,13.0,17.0,16.0,Fail,Medium Risk
STU80433,Imran Siddiqui,75.0,14.0,17.0,25.0,17.0,Pass,Low Risk
STU73489,Sadia Malik,65.0,6.0,10.0,18.0,16.0,Fail,Medium Risk
STU50288,Waqar Marwat,81.0,13.0,15.0,18.0,23.0,Pass,Low Risk
